id|latitud|longitud|autor|barrio|verso
67|40.5469154|-3.6969282|﻿Patricia Benito|﻿UAM|Vive, joder, vive
371|40.5113409|-3.6936687|﻿Semuret|﻿FUENCARRAL-EL PARDO|Como humanos pisamos las sombras&lt;br&gt;de los gigantes
580|40.509054|-3.6925502|﻿Lupe Gómez|﻿MONTECARMELO|Como por ensalmo:&lt;br&gt;Ti eras a caligrafía amada de Galicia.
853|40.5069314|-3.6944613|﻿La morada|﻿FUENCARRAL-EL PARDO|Veinte minutos de razones&lt;br&gt;bajo el tejado donde habitan los gatos
581|40.5026033|-3.7068692|﻿Libracos|﻿FUENCARRAL-EL PARDO|Eres un amor para leer a media noche
239|40.5074566|-3.6862061|﻿FERNANDO RENJIFO|﻿FUENCARRAL|Háblame del mar. Escucha cómo&lt;br&gt;la rabia se va desvaneciendo.
77|40.4982034|-3.6922605|﻿María Negroni|﻿TRES OLIVOS|—¿Es usted homosexual?&lt;br&gt;—No tengo la menor idea
582|40.498725|-3.6864321|﻿Efecto Me|﻿FUENCARRAL-EL PARDO|&lt;br&gt;Báilame paso a paso vida, báilame...
78|40.4947304|-3.6876579|﻿Marina Carretero|﻿FUENCARRAL|Te vas, y todo cesa.
169|40.4923597|-3.6866165|﻿Kike Babas|﻿FUENCARRAL|¿Qué sabe nadie lo que es un verso&lt;br&gt;bajo una cresta?
372|40.4913454|-3.6895005|﻿Antonio Hernández|﻿VALVERDE|Conocerte ya entra&lt;br&gt;dentro de mi alegría
690|40.4905244|-3.6937626|﻿Sofía Vila|﻿FUENCARRAL-EL PARDO|Siempre hay un loco para un atrevido.
1088|40.4885477|-3.6853686|﻿El Chojín|﻿VALVERDE|Cuando me quieran ahogar seré un pez...&lt;br&gt;cuando me pongan barreras, volaré
226|40.4846758|-3.6896494|﻿J.Canta|﻿FUENCARRAL-EL PARDO|Si no tardas mucho,&lt;br&gt;te espero, toda la vida
79|40.5121862|-3.6776183|﻿Patricia Andrada|﻿LAS TABLAS|Soltar es una palabra&lt;br&gt;que me ata
170|40.5108943|-3.6729808|﻿mellamoagripina|﻿HORTALEZA|Dos no discuten si uno no hiere
691|40.5087276|-3.6779965|﻿Martha Asunción Alonso|﻿LAS TABLAS|No es suficiente andar para alejarse.
583|40.5087806|-3.6731378|﻿Marta Navarro|﻿FUENCARRAL-EL PARDO|Me llevas al océano de tu rosaleda,&lt;br&gt;a tus calles sin edad.
692|40.5108035|-3.6664283|﻿Pablo Blanco|﻿LAS TABLAS|La memoria es de treinta mil flores&lt;br&gt;que ni se venden ni se pudren
584|40.5102203|-3.6691305|﻿(∂ + m) ψ = 0|﻿FUENCARRAL-EL PARDO|No sigo tus pasos, camino contigo
854|40.5086684|-3.6694067|﻿Jesús Fernández Úbeda|﻿LAS TABLAS|Yo qué sé si viví lo confesado
